Name,Gender,City,Frequency,Item,Spends
Nitish,M,Kolkata,Weekly,Burger,11
Anu,F,Gurgaon,Daily,Sandwich,14
Mukku,M,Kolkata,Once,Vada,25
Suri,M,Kolkata,Monthly,Pizza,56
Rajiv,M,Patna,Never,Paneer,34
Jagdev,M,Gurgaon,Weekly,Burger,67
Preeti,F,Patna,Once,Sandwich,45
Radhika,F,Mumbai,Daily,Pizza,90
Sunil,M,Mumbai,Monthly,Vada,20
Rohan,M,Delhi,Never,Noodles,15
Asha,F,Kolkata,Seldom,Biryani,85
Nitish,M,Kolkata,Daily,Pizza,62
Anu,F,Gurgaon,Monthly,Burger,80
Rajiv,M,Patna,Weekly,Vada,12
Suri,M,Kolkata,Once,Paneer,40
Mukku,M,Kolkata,Never,Sandwich,30
Radhika,F,Mumbai,Weekly,Biryani,75
Asha,F,Kolkata,Daily,Noodles,25
Sunil,M,Mumbai,Seldom,Pizza,45
Rohan,M,Delhi,Once,Burger,35
Anu,F,Gurgaon,Weekly,Pizza,55
Nitish,M,Kolkata,Monthly,Noodles,45
Suri,M,Kolkata,Daily,Burger,25
Rajiv,M,Patna,Seldom,Sandwich,18
Mukku,M,Kolkata,Once,Biryani,88
Preeti,F,Patna,Daily,Pizza,70
Radhika,F,Mumbai,Once,Paneer,65
Sunil,M,Mumbai,Weekly,Burger,32
Rohan,M,Delhi,Monthly,Vada,15
Asha,F,Kolkata,Never,Sandwich,10
Jagdev,M,Gurgaon,Daily,Biryani,95
Anu,F,Gurgaon,Once,Paneer,50
Nitish,M,Kolkata,Seldom,Vada,22
Suri,M,Kolkata,Weekly,Noodles,40
Rajiv,M,Patna,Monthly,Burger,28
Mukku,M,Kolkata,Daily,Pizza,75
Preeti,F,Patna,Weekly,Biryani,80
Radhika,F,Mumbai,Seldom,Sandwich,35
Sunil,M,Mumbai,Once,Noodles,28
Rohan,M,Delhi,Daily,Pizza,60
Asha,F,Kolkata,Monthly,Burger,45
Jagdev,M,Gurgaon,Never,Paneer,40
Anu,F,Gurgaon,Daily,Biryani,92
Nitish,M,Kolkata,Once,Sandwich,15
Suri,M,Kolkata,Seldom,Vada,18
Rajiv,M,Patna,Daily,Pizza,65
Mukku,M,Kolkata,Weekly,Paneer,55
Preeti,F,Patna,Monthly,Noodles,30
Radhika,F,Mumbai,Never,Burger,22
Sunil,M,Mumbai,Daily,Sandwich,35
Rohan,M,Delhi,Weekly,Biryani,85
Asha,F,Kolkata,Once,Pizza,50
Jagdev,M,Gurgaon,Monthly,Vada,20
Anu,F,Gurgaon,Seldom,Noodles,30
Nitish,M,Kolkata,Never,Biryani,90
Suri,M,Kolkata,Monthly,Sandwich,28
Rajiv,M,Patna,Once,Noodles,22
Mukku,M,Kolkata,Seldom,Burger,40
Preeti,F,Patna,Never,Vada,12
Radhika,F,Mumbai,Daily,Biryani,99
